BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen. Dat betekent dat deze ree
ksen niet geschikt zijn voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeksen van de stations De Kooy, Eelde, De B
ilt, Vlissingen, Beek of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suit
able for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Nether
lands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

YYYYMMDD  = Datum (YYYY=jaar MM=maand DD=dag) / Date (YYYY=year MM=month DD=day)
DDVEC     = Vectorgemiddelde windrichting in graden (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/ac
htergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable)
FHVEC     = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean
 windspeed (in 0.1 m/s)
FG        = Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
FHX       = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
FHXH      = Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
FHN       = Laagste uurgemiddelde windsnelheid (in 0.1 m/s) / Minimum hourly mean windspeed (in 0.1 m/s)
FHNH      = Uurvak waarin FHN is gemeten / Hourly division in which FHN was measured
FXX       = Hoogste windstoot (in 0.1 m/s) / Maximum wind gust (in 0.1 m/s)
FXXH      = Uurvak waarin FXX is gemeten / Hourly division in which FXX was measured
TG        = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
TN        = Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
TNH       = Uurvak waarin TN is gemeten / Hourly division in which TN was measured
TX        = Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
TXH       = Uurvak waarin TX is gemeten / Hourly division in which TX was measured
T10N      = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
T10NH     = 6-uurs tijdvak waarin T10N is gemeten / 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
SQ        = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (
-1 for <0.05 hour)
SP        = Percentage van de langst mogelijke zonneschijnduur / Percentage of maximum potential sunshine duration
Q         = Globale straling (in J/cm2) / Global radiation (in J/cm2)
DR        = Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
RH        = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHX       = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHXH      = Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
PG        = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from
24 hourly values
PX        = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Maximum hourly sea level pressure (in 0.1 hPa)
PXH       = Uurvak waarin PX is gemeten / Hourly division in which PX was measured
PN        = Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Minimum hourly sea level pressure (in 0.1 hPa)
PNH       = Uurvak waarin PN is gemeten / Hourly division in which PN was measured
VVN       = Minimum opgetreden zicht / Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVNH      = Uurvak waarin VVN is gemeten / Hourly division in which VVN was measured
VVX       = Maximum opgetreden zicht / Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVXH      = Uurvak waarin VVX is gemeten / Hourly division in which VVX was measured
NG        = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants, 9=sky invis
ible)
UG        = Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
UX        = Maximale relatieve vochtigheid (in procenten) / Maximum relative atmospheric humidity (in percents)
UXH       = Uurvak waarin UX is gemeten / Hourly division in which UX was measured
UN        = Minimale relatieve vochtigheid (in procenten) / Minimum relative atmospheric humidity (in percents)
UNH       = Uurvak waarin UN is gemeten / Hourly division in which UN was measured
EV24      = Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)

# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  285,20220508,    9,   43,   45,   70,    2,   30,   11,   90,    6,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220509,   89,   25,   36,   60,   14,   10,    9,   70,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220510,  217,   65,   72,  110,   12,   50,    1,  160,   11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220511,  238,   79,   90,  130,   18,   60,    1,  170,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220512,  255,   73,   76,  110,    2,   30,   21,  140,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220513,  247,   91,   93,  110,    7,   80,    1,  140,    7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220514,  287,   31,   44,   80,    1,   20,   19,  100,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220515,   64,   60,   64,  100,   18,   30,    3,  120,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220516,  114,   32,   73,  110,    4,   40,   15,  130,    4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220517,  259,    6,   50,   70,   24,   20,   13,   90,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220518,  209,    6,   44,   70,    1,   10,   21,   90,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220519,  299,    9,   55,   90,   20,   20,    1,  140,    6,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220520,  274,   22,   50,  110,   22,   10,    7,  130,   22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220521,  265,   88,   91,  130,    4,   40,   24,  160,    3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220522,  119,   19,   45,   80,   22,   10,   10,  100,   22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220523,  122,   20,   73,  100,   23,   50,   16,  130,   23,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220524,  244,   86,   90,  120,   13,   60,    6,  170,   12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220525,     ,     ,  100,     ,     ,     ,     ,  180,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220526,  260,  101,  104,  130,   18,   90,    5,  180,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220527,  284,  125,  127,  140,   14,   90,    2,  180,    5,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  285,20220528,  315,  121,  122,  150,    2,  110,   11,  190,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  286,20220501,   11,   16,   23,   50,   17,   10,    1,   70,   17,   77,    3,    5,  134,   13,   -2,    6,   85,   57, 1875,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   78,   98,    5,   49,   12,   26
  286,20220502,    2,   23,   28,   60,   16,    0,   23,   80,   16,   86,   -4,    4,  157,   13,  -11,    6,  132,   88, 2469,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   73,   98,    2,   44,   17,   35
  286,20220503,  340,   28,   36,   60,    8,   10,   23,   90,    7,   83,   20,    3,  126,   13,   11,    6,   44,   29, 1552,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   75,   94,    4,   60,   12,   22
  286,20220504,  341,   15,   23,   30,    3,   10,   24,   70,   13,   83,   23,   24,  128,   15,   15,   24,   74,   49, 2000,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   68,   93,   24,   56,    9,   28
  286,20220505,   48,    9,   17,   40,   18,    0,    3,   70,   13,  102,   27,    3,  168,   15,   13,    6,   62,   41, 1757,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   76,   95,    2,   52,   12,   26
  286,20220506,  294,   13,   21,   50,   15,   10,    1,   90,   13,  132,   40,    3,  207,   13,   28,    6,   89,   58, 2274,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   75,   96,    2,   41,   13,   36
  286,20220507,    9,   28,   35,   70,   16,    0,    6,  100,   16,  124,   54,   23,  177,   13,   43,   24,   55,   36, 1744,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   81,   92,    1,   64,   12,   27
  286,20220508,    7,   36,   40,   60,   15,   20,   24,  100,   12,   90,   17,   24,  146,   13,    5,   24,  134,   87, 2665,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   73,   96,   23,   52,   13,   38
  286,20220509,  182,    9,   23,   50,   17,    0,    1,   80,   13,  134,    9,    3,  237,   16,    1,    6,  130,   84, 2633,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   66,   98,    3,   31,   16,   42
  286,20220510,  229,   45,   55,  110,   14,   20,    2,  160,   14,  167,  110,   22,  240,   14,  102,   24,   27,   17, 1241,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   61,   83,   24,   39,   16,   21
  286,20220511,  242,   61,   67,  100,   23,   30,    1,  160,   23,  157,  110,   24,  217,   14,  107,   24,   62,   40, 1966,   10,    7,    5,   20,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   68,   89,   21,   39,   13,   33
  286,20220512,  257,   51,   55,   80,   12,   30,   20,  130,    1,  136,   84,   23,  194,   14,   72,   24,  126,   81, 2291,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   67,   90,    4,   39,   13,   37
  286,20220513,  245,   60,   63,   90,   12,   40,    1,  140,   14,  137,   97,    1,  181,   15,   94,    6,   41,   26, 1350,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   67,   83,   22,   51,   14,   22
  286,20220514,  317,   24,   43,   60,   13,   20,   22,   90,   13,  134,   64,   24,  192,   13,   45,   24,  100,   63, 2082,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   74,   96,   24,   50,   11,   33
  286,20220515,   63,   32,   33,   60,   18,   10,    1,  100,   18,  138,   36,    4,  217,   16,   26,    6,  144,   91, 2738,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   72,   98,    2,   39,   14,   44
  286,20220516,  157,   17,   43,   60,    8,   30,   14,  100,    8,  175,  100,    3,  259,   12,   94,    6,   54,   34, 1692,   20,   72,   51,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   70,   95,   20,   37,   12,   29
  286,20220517,  202,    4,   32,   50,    8,   20,   12,   70,    8,  180,  121,    4,  226,   16,  117,    6,  128,   80, 2395,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   78,   95,    4,   55,   14,   42
  286,20220518,  147,    3,   33,   60,   15,   10,   22,   90,   15,  193,  135,   23,  292,   13,  131,   24,  112,   70, 2260,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   76,   95,   23,   42,   12,   41
  286,20220519,  289,   12,   36,   60,   15,   10,    1,  130,   14,  173,  129,    3,  248,   13,  126,    6,   50,   31, 1361,   17,  179,  140,   15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   86,   97,    1,   59,   13,   24
  286,20220520,  263,   15,   35,   70,   18,   10,    3,  140,   18,  139,   97,    4,  193,   13,   84,    6,   62,   39, 1720,   38,  147,   70,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   84,   97,    4,   59,   13,   28
  286,20220521,  270,   53,   60,   80,    7,   20,   24,  120,    6,  134,   77,   24,  174,   14,   74,   24,   64,   40, 1694,    3,    5,    5,    3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   81,   95,    2,   67,   16,   27
  286,20220522,  128,   14,   22,   30,    7,   10,    1,   50,   13,  133,   55,    4,  189,   16,   52,    6,  114,   70, 2359,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   76,   98,    3,   55,   16,   37
  286,20220523,  134,   26,   46,   70,   24,   30,    1,  120,   19,  174,   96,    2,  240,   13,   89,    6,   63,   39, 2028,   21,   93,   52,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   74,   96,   21,   53,   13,   35
  286,20220524,  228,   51,   55,   80,   10,   20,   20,  160,   12,  133,   87,   23,  162,   11,   79,   24,   60,   37, 1492,    8,   12,    8,   11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   84,   94,    3,   67,   17,   24
  286,20220525,  221,   61,   64,  100,   16,   20,    2,  150,   13,  136,   78,    3,  185,   13,   73,    6,   72,   44, 1982,   15,   10,    3,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   78,   96,    3,   52,   15,   32
  286,20220526,  252,   68,   70,   90,   13,   50,    1,  140,   17,  153,  131,    1,  192,   12,  126,    6,   45,   28, 1503,   14,   18,   11,   24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   77,   94,    2,   54,   11,   25
  286,20220527,  278,   78,   78,  110,   12,   40,    2,  160,   10,  129,  100,   24,  155,   11,   95,   24,  112,   68, 2219,    4,    5,    3,   24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   71,   91,    3,   56,   16,   35
  286,20220528,  301,   67,   69,   90,   10,   40,   23,  150,    7,  110,   87,    1,  153,   15,   80,    6,   63,   38, 1789,   25,   26,    7,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   77,   92,   21,   56,   11,   27
  290,20220501,   36,   14,   15,   20,    1,    0,   21,   50,   10,   95,   44,   22,  139,   16,    5,   24,   16,   11, 1185,    0,    0,    0,    1,10236,10251,    8,10221,   24,   63,   22,   81,   10,    8,   72,   93,   22,   49,   15,   17
  290,20220502,    7,   20,   23,   40,   10,   10,    1,   90,   19,  119,   45,   24,  187,   14,   -8,   24,  117,   78, 2297,    0,    0,    0,    1,10198,10217,    1,10178,   17,   63,    1,   83,   20,    4,   62,   96,    1,   40,   16,   35
  290,20220503,    8,   22,   23,   40,   13,    0,    4,   80,   12,   95,   13,    5,  160,   15,  -28,    6,   82,   55, 1809,    0,    0,    0,    1,10193,10201,   23,10186,   17,   62,    4,   80,    7,    6,   73,   98,    5,   57,    9,   26
  290,20220504,  348,   16,   20,   40,   16,   10,    4,   80,   13,  109,   62,    3,  164,   15,   50,    6,   99,   66, 2384,    0,    0,    0,    1,10191,10198,    1,10178,   17,   70,    3,   81,   17,    8,   65,   82,    3,   45,   16,   36
  290,20220505,   16,    8,   11,   30,   14,    0,    5,   50,   13,  127,   47,    4,  194,   13,   15,    6,   86,   57, 2089,    0,    0,    0,    1,10224,10247,   23,10199,    1,   57,   24,   82,   16,    6,   66,   98,   24,   39,   13,   33
  290,20220506,  293,   13,   15,   30,    9,    0,    1,   70,   14,  141,   37,    5,  216,   16,    0,    6,  120,   79, 2399,    0,    0,    0,    1,10244,10257,    9,10231,   17,    2,    4,   81,   14,    6,   71,  100,    4,   39,   14,   39
  290,20220507,  350,   22,   33,   60,   17,    0,    1,  100,   17,  147,   84,    2,  215,   13,   48,    6,   45,   30, 1619,    0,   -1,   -1,    1,10238,10272,   24,10225,    4,   25,    4,   76,   18,    8,   74,   98,    1,   51,   10,   27
  290,20220508,   23,   31,   33,   40,    1,   10,    5,   90,   15,  115,   46,    5,  181,   15,    4,    6,  142,   93, 2758,    0,    0,    0,    1,10280,10292,    9,10267,   17,   60,    5,   82,   19,    4,   64,   95,    4,   34,   16,   42
  290,20220509,  177,    9,   20,   40,   13,    0,   20,   70,   13,  147,   34,    5,  238,   14,   -8,    6,  142,   92, 2694,    0,    0,    0,    1,10245,10283,    1,10202,   24,   65,   23,   81,   11,    4,   64,   93,   23,   36,   14,   44
  290,20220510,  221,   31,   39,   80,   15,   10,    1,  130,   14,  183,   96,    1,  254,   12,   66,    6,   27,   18, 1459,    0,   -1,   -1,    1,10160,10198,    1,10135,   24,   62,    1,   83,   20,    8,   60,   93,    1,   43,   12,   26
  290,20220511,  242,   53,   57,   80,    9,   30,    1,  140,   13,  180,  126,   24,  231,   16,  117,   24,  102,   66, 2419,    4,    6,    6,   22,10102,10128,    1,10083,   17,   70,   23,   81,   17,    6,   58,   81,   23,   38,   13,   42
  290,20220512,  245,   35,   40,   60,    1,   10,   21,  110,    1,  140,   80,    4,  200,   13,   57,   24,  117,   75, 2332,    0,    0,    0,    1,10173,10187,   11,10132,    1,   65,    4,   82,   18,    5,   62,   92,    4,   36,   15,   38
  290,20220513,  241,   48,   50,   80,   10,   20,   21,  120,    8,  138,   90,    3,  191,   15,   64,   24,   61,   39, 1670,    0,    0,    0,    1,10188,10202,   21,10168,    4,   69,    7,   81,   18,    6,   63,   78,    5,   47,   16,   27
  290,20220514,  294,   13,   28,   40,   12,   20,    4,   80,   14,  152,   84,    4,  221,   15,   60,    6,  124,   79, 2435,    0,    0,    0,    1,10211,10220,   22,10198,    1,   64,    8,   75,    1,    4,   61,   86,    4,   36,   15,   40
  290,20220515,   83,   24,   27,   40,   13,   10,    3,   80,   12,  175,   54,    4,  245,   15,   22,    6,  145,   92, 2784,    0,    0,    0,    1,10192,10216,    1,10158,   24,   58,    3,   82,   20,    5,   54,   97,    3,   32,   16,   48
  290,20220516,  196,   14,   35,   60,   15,   20,   12,  100,   15,  185,  140,    3,  258,   14,  129,    6,   61,   39, 1522,    8,    2,    2,   17,10161,10197,   24,10140,    7,   60,   18,   80,    2,    7,   66,   87,   18,   43,    9,   27
  290,20220517,  140,   10,   24,   40,   16,   10,    2,   60,    7,  175,  111,    3,  222,   17,   87,    6,   49,   31, 1350,    0,   -1,   -1,    1,10204,10220,   11,10193,   24,   62,    3,   80,   13,    8,   74,   95,    3,   57,   17,   23
  290,20220518,  214,   16,   31,   50,   11,    0,   22,  100,   13,  218,  136,    3,  296,   14,  113,    6,  111,   70, 2329,    0,    0,    0,    1,10199,10206,    8,10188,   24,   32,   24,   80,    8,    8,   64,   98,   24,   38,   13,   44
  290,20220519,  227,   13,   30,   90,   14,   10,   24,  250,   14,  190,  105,   24,  270,   12,   72,   24,   51,   32, 1443,   17,  167,  139,   14,10184,10219,   24,10160,   12,    1,   24,   80,    7,    7,   77,   98,   24,   43,   12,   26
  290,20220520,  241,   16,   34,   70,   17,    0,    3,  150,   18,  145,   80,    5,  217,   13,   49,    6,   64,   40, 1772,   17,   50,   40,   14,10176,10222,    5,10106,   16,    0,    4,   81,   10,    8,   82,   99,    2,   47,   12,   29
  290,20220521,  261,   39,   45,   70,    7,    0,   21,  110,    7,  135,   56,   24,  193,   15,   24,   24,   64,   40, 1640,    0,    0,    0,    1,10198,10207,   12,10181,    3,    3,   23,   80,   10,    7,   74,   98,   23,   48,   15,   26
  290,20220522,   86,   16,   18,   30,   12,    0,    2,   70,   16,  147,   36,    3,  207,   15,    6,    6,  123,   77, 2554,    0,    0,    0,    1,10152,10191,    1,10095,   24,    1,    2,   83,   20,    6,   64,   99,    2,   44,   16,   42
  290,20220523,  164,   22,   42,   60,   16,   20,    4,  120,   20,  185,  130,   24,  265,   14,  128,    6,   57,   35, 1894,   18,   44,   35,   20,10012,10087,    1, 9953,   19,   34,   21,   81,    8,    8,   68,   94,   21,   43,   14,   34
  290,20220524,  222,   36,   39,   70,   12,   10,   18,  140,   12,  127,   69,   23,  177,   15,   35,   24,   53,   33, 1541,   16,   44,   25,   11,10059,10121,   24,10002,    3,   35,   22,   82,   16,    7,   83,   97,   22,   58,   15,   24
  290,20220525,  227,   49,   50,   70,   12,   20,    1,  150,   19,  142,   74,    3,  192,   12,   29,    6,   78,   48, 2050,    0,   -1,   -1,    1,10143,10161,   22,10123,    1,   56,    2,   83,   19,    5,   69,   96,    2,   48,   12,   33
  290,20220526,  245,   61,   63,   80,   14,   40,    5,  140,   15,  165,  138,    3,  202,   14,  135,    6,   38,   23, 1689,    5,    1,    1,   24,10185,10201,   10,10159,    1,   62,    4,   82,   10,    8,   69,   87,    4,   51,   15,   29
  290,20220527,  277,   58,   60,   90,   10,   40,    2,  150,    9,  136,   91,   24,  174,   13,   82,   24,  103,   63, 2438,   10,   23,   21,    1,10199,10213,   19,10180,    1,   48,    1,   80,   11,    6,   66,   93,    2,   44,   12,   39
  290,20220528,  307,   43,   46,   60,    7,   20,   21,  120,    7,  112,   45,   24,  163,   13,    6,   24,   80,   49, 1917,    0,   -1,   -1,    1,10196,10209,    8,10171,   24,   65,   22,   81,    9,    5,   68,   94,   24,   47,   12,   29
  308,20220501,   24,   11,   21,   30,   13,   10,    1,   40,    9,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220502,   14,   43,   45,   70,   13,   10,    9,   90,   22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220503,   11,   53,   54,   80,   16,   30,    3,  100,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220504,  316,    8,   25,   50,    1,   10,    6,   60,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220505,  301,   21,   28,   50,   14,   20,    1,   60,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220506,  257,   23,   28,   50,   20,   10,    2,   70,   20,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220507,  351,   39,   50,   80,   23,   10,    6,  110,   22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220508,   27,   66,   69,   90,   12,   30,   24,  110,   13,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220509,   65,   13,   30,   60,   14,   10,    6,   80,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  308,20220510,  233,   48,   59,   80,    9,   40,    3,  110,    8,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
